Prompt,Negative,Neutral,Positive,Compound
cute  water color  animated baby peacock clipart  baby shower invitation template,0.0,0.769,0.231,0.4588
a sprinter running into acloud of code  futuristic  clean  minimalistic  transparent background  limited color palette  ilustration  digital art  ,0.097,0.765,0.138,0.2023
a 2030 BMW concept four door sedan 5 series with modern design cues based on BMW E12  Modern  concept car  Photorealistic  Car show display photoshoot  ,0.0,1.0,0.0,0.0
ExternalUrl  3DS Max +,0.0,1.0,0.0,0.0
My little ponies  lisa frank  cute  fantasy  biomechanical  weapons  tart  ,0.209,0.576,0.216,0.0258
ExternalUrl  positive female hero in a blue latex attractive futuristic wizard dress with stars and sparkles wearing a large flowing silk cape with flowers and sports boots standing on a wet floor  crepuscular rays  full body view  full character view  huge attractive brest  very athletic  muscular long legs  deep v sleeveless top  small rodent at her feet  facing the camera  dunes in the background  hyperrealistic  photorealistic  ,0.0,0.739,0.261,0.9545
realistic t Rex dj  nightclub  lit red neon  Holographic,0.0,1.0,0.0,0.0
macro sea corals close up hd 8k 5  ,0.0,1.0,0.0,0.0
father and child measuring height at the door vector flat illustration zdj  in the style of disney colors  lush and detailed  emotional imagery wlop  hannah flowers  soft  edged,0.0,0.944,0.056,0.1531
Create a logo emblem with the letters S and A in thrash metal style  bold  angular shapes  surounded by a snake,0.0,0.761,0.239,0.5719
macdonald logo if they were selling only meat,0.0,1.0,0.0,0.0
red human heart in fire with a golden simple crown with a cross  beautiful  realistic  high quality  high definition,0.113,0.704,0.183,0.3612
ukraine  kiev  old style  people  walk at streets  rain  umbrella,0.0,1.0,0.0,0.0
A grayscale coloring page of an elegant woman with beautiful icing flowers and an elaborate house made of cupcake in her hair  in the style of ray caesar  black and white line drawing  detailed world building  rococo inspired details  patrick brown  anne geddes  golden age aesthetics  adult coloring page  ,0.0,0.815,0.185,0.8807
fox women cosplay  ,0.0,1.0,0.0,0.0
superman walking on the street full body with the cake in his hands  back view  realistic,0.0,1.0,0.0,0.0
a current transformer fishing with a nuclear plant in the background  futuristic  4k,0.0,1.0,0.0,0.0
A hyper realistic Close up Illustration of J Cole in flashy clothing from the early 1970s  He is wearing sunglasses looking down at his chest  Behind him is a big music studio  Detailed rendering  vibrant colors  cinematic and ethereal lighting  Leave space above him for a headline  58 mm f/1 4   ,0.025,0.905,0.07,0.4939
tooth fairy high resolution poster for dental reception waiting room colourful child friendly,0.0,0.789,0.211,0.4939
hariyama the pokemon in steel form,0.0,1.0,0.0,0.0
A hyper realistic Close up Illustration of Miles Davis in flashy clothing from the early 1970s  He is wearing sunglasses looking down at his chest  Behind him is a large oak tree on a hill with a wide variety of bizarre trumpet shaped fruits growing on it  The fruits are bizarre trumpets  The fruits are of many colors  Detailed rendering  vibrant colors  cinematic and ethereal lighting  Leave space above him for a headline  58 mm f/1 4   ,0.075,0.858,0.066,0.0772
a modern concept for a BMW 5 series 4 door sedan based on BMW e12  Photorealistic concept car  Photoshoot  ,0.0,1.0,0.0,0.0
visual encoding occult symbolism grimoire primitive shaman witches ritual golden thread death cult rebirth collage cerebus  ,0.206,0.794,0.0,-0.5994
ExternalUrl  a hyper realistic illustration of the attached portrait  Wearing the same clothes  looking away from the camera  white white background  vibrant green color touches  cinematic  the sky is the center of the image,0.0,0.904,0.096,0.5267
ExternalUrl  In 1998 China  a 60 year old Chinese grandmother and a 5 year old Chinese girl photography 8k front full length shot bright  ,0.0,0.873,0.127,0.4404
take a full body portrait of a woman coming out of a lake transparent fabric covers her wet uncovered body  Pre Raphaelites  hyperrealistic  very detailed   8k  ,0.0,1.0,0.0,0.0
A creative image of a person writing an endless stream of glowing words and symbols and hieroglyphs on a transparent  floating light stream   moving all around him like a spiral   in the style of surrealism  ,0.0,0.843,0.157,0.6597
cat sleep in big pile of cotton wool  cartoon style ,0.0,1.0,0.0,0.0
ExternalUrl  a hyper realistic photography of a happy smiling group of women smiling and having fun on a beach in 1955  They are all wearing 1955 style swimming suits  It is a sunny windy day and their hair is moving with the wind  They are tanned  Strong facial expression  History femphotos  Richly detailed  Topcor 58 mm f/1 4  Candid shot  Vintage light   ,0.0,0.694,0.306,0.9682
dollar bill icon  doodle style  print  t shirt,0.0,1.0,0.0,0.0
etheral  looking from a huge italian style city under it  large cross shaped spaceship floating high in the air  clear blue sky  large glowing cross on the spaceship  realistic   ,0.0,0.841,0.159,0.5994
Creative album cover  super sharp details  Amazing art design  16k  high quality  cyberpunk  galactic ,0.0,0.509,0.491,0.891
ExternalUrl  little cute girl  big smiling face  brown short hair  3d character from Disney Pixar  super detail   gradient background  soft colors  fine luster  blender  soft lighting  anime  art  ip  blind box   divine  cinematic edge lighting  8k  ,0.057,0.629,0.315,0.9063
ExternalUrl  make her twin brother with black hair  stubble  wearing a black leather jacket  8k  ultrarealistic,0.0,1.0,0.0,0.0
cute dollar bill icon  doodle style,0.0,0.625,0.375,0.4588
ExternalUrl  having a coffee in a bar in Paris  realistic  happy people,0.0,0.709,0.291,0.5719
Chevrolet Tahoe 2023 in a beautiful oasis in the middle of the desert and tent the background sunset  8k  hyper detailed  ,0.0,0.83,0.17,0.5994
six twisted street lamps with a orb at the top  very colorful and modern designed,0.0,0.878,0.122,0.2023
ExternalUrl  ExternalUrl ExternalUrl ctual Genuine True to life Accurate Believable Plausible Credible Verifiable Faithful Real Lifelike Naturalistic Unembellished Verisimilar Naiad Mermaid Siren Oceanid Undine Water spirit Aqua diva River nymph Sea sprite Hydrophile goddess Lake maiden Tethys Amphitrite Flowers cinematic ancing Perfectly symmetrical black woman in sundress Goddess of fire golden sun shot on a sony mirrorless camera  dslr  50mm lens f/ 2  8  ulltra detailed  8k  at night v 5 hope joy vivacious night club dancing flames african healthy photorealistic  ,0.026,0.719,0.255,0.9657
close up of white cream  aesthetic,0.0,1.0,0.0,0.0
Ads Stock Footage  Documentary Photo  Full body Shot  70 year old mother and her 25 year old daughter seen from behind looking at each other on the balcony of a shopping center  Mall spot  Natural lighting  warm light  5mm lens ,0.0,0.894,0.106,0.5267
three wilted roses dropped onto a sidewalk at night as a well dressed young woman walks away from the scene  ,0.0,0.89,0.11,0.2732
lambs head Japanese art style clouds monochrome  ,0.0,1.0,0.0,0.0
a judo pretty woman with a yellow belt inside a circle,0.0,0.686,0.314,0.4939
ExternalUrl   documentary photo  medium shot  smiling while eating in a restaurant  natural lighting  high contrast  35mm lens   ,0.0,0.718,0.282,0.6705
drunk Trump  ,0.706,0.294,0.0,-0.34
ExternalUrl  ExternalUrl ,0.0,1.0,0.0,0.0
labrador and beagle mix  light brown fur  looking out window  photorealistic  vibrant  well lit room,0.0,0.703,0.297,0.6705
an ultrarealistic photo of the most amazing chocolate cake on a plate with chocolate sauce cream Photorealistic  extremely detailed  Shot on a Hasselblad  ISO 100  professional color grading  Soft shadows  sharp focus  High end retouching  cinematic lighting  Award winning photography  Advertising photography  Commercial photography 8k photo ,0.0,0.789,0.211,0.8999
deezy in the style of a cannabis company logo,0.0,1.0,0.0,0.0
ADM in the style of soccer sport company logo,0.0,1.0,0.0,0.0
Arsene Lupin jumping over rooftops in Paris  Arsene Lupin is semi Feline semi human  in this hyper realistic photo   ,0.0,1.0,0.0,0.0
Munchmate in the style of a beef jerky company logo,0.0,1.0,0.0,0.0
a cute mascot for a cameraman simple vector art  flat design,0.0,0.727,0.273,0.4588
i want a dumpling personified to be smiling as it is dunked in soy sauce with chopsticks  This should be an image for 1  3 year olds ,0.0,0.778,0.222,0.5719
men on top of a very old ship  throwing a man overboard  in the sea a whale is thrown with its mouth open to swallow the man who is falling  storm  rain  wind  air  lightning  thunder  storm  ship old wooden  hyper realistic  ultra high definition  8k  4K/,0.035,0.925,0.04,0.0516
emoji spritesheet  flat illustration of a violet pansy flower  2d  minimalist  modern art  8k  clean background,0.0,0.838,0.162,0.4019
middle aged man  closed eyes  deep meditation  with a futuristic meditation headset on forehead  with blue background  DNA ribbons are vertically floating in background  ,0.0,1.0,0.0,0.0
a mid morning scene in a beautiful kitchen with a mom feeding a baby in a white and wood munchkin highchair a bottle of milk  photorealistic  lifestyle advertising style  no products,0.076,0.79,0.134,0.4019
A girl and tomatoes depicted in Banksys style  youthful  vibrant  balanced  high key lighting ,0.0,0.659,0.341,0.6908
A logo with a J in it  dark purple steel letter J  purple steel black and dark matt  a J shape on black matt  dark teal and grey  angular geometry  minimalism  Letter J,0.0,0.954,0.046,0.0516
realistic cherries with smiling faces and afros  ,0.0,0.667,0.333,0.4588
A farmer depicted in Banksys style  rural  gritty  asymmetric  low key lighting ,0.174,0.826,0.0,-0.2732
Wooper the Pokemon in Edvard Munch The Scream,0.278,0.722,0.0,-0.4019
a latin american street  ,0.0,1.0,0.0,0.0
Durga (Hindu) Goddess of war and destruction of evil with 8 arms   walking with Tiger and lion cinematic lighting  ,0.444,0.556,0.0,-0.9186
A wide shot of a sleek  lightning blue microcar  eco friendly and luxurious  parked in a modern urban cityscape  daytime  perfect weather  sporty and dependable  photographed off center  high quality  cinematic  advertisement style  with gleaming details and captivating reflections shot with Canon EOS 5D Mark IV  18mm lens  f/2 4  ISO 100   ,0.0,0.87,0.13,0.7845
Hudson,0.0,1.0,0.0,0.0
architectural watercolour rendering of a busy big box shopping centre with a crowded parking lot  sunny day  high definition   ,0.0,0.851,0.149,0.4215
a bull in suits trading forex   full realistic   4k,0.0,1.0,0.0,0.0
ExternalUrl  Cartoon style  drawed,0.0,1.0,0.0,0.0
banksy style  black and white  black background  dog wearing sunglasses  ,0.0,1.0,0.0,0.0
photorealistic cigarette smoke flowing nicely black and white,0.0,0.707,0.293,0.4404
colouring pages of wattle trees  black lines  no background  low detail   ,0.323,0.677,0.0,-0.5106
Still frame from a horror movie  In a modest minimal apartment in Los Angeles a grinning Bradley Cooper sitting on the bed wearing a black business suit during a warm sunrise  The warm sun shines through the window curtains lighting the room  Full Frame Arri Alexa   ,0.079,0.787,0.134,0.1531
Pixar style dj panda wearing fat gold chain,0.0,1.0,0.0,0.0
An image of a group of people seated around a table  engaged in a discussion related to credit portfolios and risk management  ,0.09,0.684,0.226,0.4939
the transformation from behavioral data to a customer as human being phototealistic 4k,0.0,1.0,0.0,0.0
group of 20 rockabilly zombies  Texas city  dramatic lighting  Cold palette  oil painting — at 53,0.0,1.0,0.0,0.0
ExternalUrl  dressed as julius ceasar standing proud as a roman emperor,0.0,0.744,0.256,0.4767
ExternalUrl   this female is more skeletal and covered in scorch marks,0.0,1.0,0.0,0.0
ExternalUrl  drawn the same but in the style of a blueprint illustration,0.0,1.0,0.0,0.0
a 16 bit adventure game   Bend  oregon a small town surrounded by pine trees with mt bachelor in the background s ,0.0,0.881,0.119,0.3182
watercolor just the stems  ,0.0,1.0,0.0,0.0
ExternalUrl  in a astronaut suit getting ready for his first voyage into space,0.0,0.815,0.185,0.3612
a trad American tattoo concept incorporating the colours of jiujitsu and depicting Count Koma as he travelled the world,0.0,1.0,0.0,0.0
icon about election and voting,0.0,1.0,0.0,0.0
a shot looking in through the entrance gate of a sci fi radioactive wasteland theme and amusment park in the middle of the nowhere  glowing green radioactive slime  rollercoaster  dramatic intense and dark lighting  in the distance a sand storm brews  ,0.0,0.966,0.034,0.0772
futurist organic skycraper in the sea  foggy  night with moon light rays,0.0,1.0,0.0,0.0
graphic design poster  flying high in Amsterdam  ,0.0,1.0,0.0,0.0
Jewish European man  25 years old  black short straight hair haircut style  blue eyes  in sorcerer style  wearing black ancient jew clothes  very rich,0.0,0.792,0.208,0.6997
ExternalUrl  ExternalUrl ,0.0,1.0,0.0,0.0
futurist building in the sea  foggy ,0.0,1.0,0.0,0.0
ExternalUrl  pattern flowers spring  ,0.0,1.0,0.0,0.0
king ivan the terrible is sitting on the bank of the river  the Volga river  a wooden Orthodox church by the water  a willow tree  its cloudy  its raining  Mythological style extreme long shot photograph  Lomography XPro 200  photorealistic style  ultra realistic  colorful portraits super detail  ,0.063,0.857,0.08,0.2023
minimalistic logotype for note sharing web application,0.0,0.682,0.318,0.4215
cute happy grey cat with green eyes licking water out of a champagne glass in the sun of a backyard,0.0,0.581,0.419,0.8442
ExternalUrl  Blonde middle aged woman with white shirt  holding a coffee cup and looking on a laptop screen  She is getting some information from the internet  White living room background  Shallow DOF Friendly  Natural Lighting  Hasselblad X2D 100C  objective 30 mm lens  f 22  1/1000 second  backlighting  ,0.0,0.881,0.119,0.6908
A fantastical scene of the Earths multiple moons  with a towering castle perched on a rocky cliff  surrounded by a moat filled with iridescent water  The moons cast a surreal glow on the castle walls and the surrounding landscape  which is filled with strange creatures and plants  In the distance  a city of spires and towers can be seen  bathed in the light of the moons  The atmosphere is mystical  with a sense of otherworldliness  use realistic photography  fujifilm aesthetic,0.024,0.937,0.04,0.296
create a white background banner for a YouTube channel dedicated to lifestyle and career development     v 4,0.0,0.683,0.317,0.6249
ExternalUrl  in a astronaut suit getting ready for his first voyage into space,0.0,0.815,0.185,0.3612
hand anatomy of an eight foot bioengineered human space warrior show the bulk of a heavy mulscular hero like frame,0.0,0.632,0.368,0.8519
knights templar dressed in all black Louis Vuitton outfit next to blacked out Mercedes AMG 2022  street style  fashion shoot  powerful  confident  shot on Fujifilm Pro 400H q2 V5,0.07,0.756,0.174,0.5574
osage native americans in cinematic and photorealistic style  in the 20th century  hyper realisme photorealistic4 realistic2 1 wild west3 direct sunlight2  ,0.0,1.0,0.0,0.0
arttoy,0.0,1.0,0.0,0.0
art minimalistic wave lines  pastel colours  scandinavian design v 5 ar 43,0.0,1.0,0.0,0.0
a group of animated fruit characters are waiting in a queue  The fruits include apples  bananas  oranges  grapes  and others  all with cute facial expressions and personalities  The line appears to be moving slowly  and the fruits are growing increasingly impatient  The apples are tapping their feet  the bananas are checking their watches  and the oranges are rolling their eyes  As they wait  the fruits engage in small talk and gossip with one another  The grapes are giggling about something  while the watermelons are grumbling about how long the line is taking  Overall  the scene is playful and whimsical  with bright colors and fun animations  It is a lighthearted representation of the everyday experiences of waiting in line  with a humorous twist ,0.029,0.783,0.188,0.9612
professional lighting  light on face  depth of field  an american attractive 20 year old realistic beautiful women  drinking a gobiotix green drink  full body  tan complexion  Super Detail  Full Color  ultra realistic photograph  hyper realistic  super detailed  dynamic pose  photography  16k  ,0.0,0.67,0.33,0.9531
rancid tim Armstrong operation ivy power ranger red Mohawk fighting,0.429,0.571,0.0,-0.7184
being dead inside and wearing a mask with a smile; a divorced 40 year old man; jean basquiat style,0.207,0.673,0.12,-0.4215
smart gummy duck talk with men developer,0.0,0.69,0.31,0.4019
wave line illustration  big ,0.0,1.0,0.0,0.0
professional lighting  light on face  depth of field  a greek attractive 20 year old realistic beautiful women valkyrie  standing next to an Quadriga  full body  strong body  a dress with a large neckline that shows off her curves  slightly brown complexion  Super Detail  Full Color  ultra realistic photograph  hyper realistic  super detailed  dynamic pose  photography  16k  ,0.0,0.699,0.301,0.9649
ego+chaos+ghost+cyberpunk+god+transparent cinematic lighting hyper ultra realistic v 5 8k  ,0.0,1.0,0.0,0.0
At at  black  red led   ,0.0,1.0,0.0,0.0
banksy style  old man screaming as he smashes a mobile phone  art  splash,0.191,0.809,0.0,-0.3818
virat kohli  david warner  michael hussey wearing their team uniforms and welcoming new zealands mark champan to the club of players of snatched victory from pakistan,0.0,0.896,0.104,0.4404
fantasy illustration style  portrait of a beautiful girl  palm tree  drip paint   creamy colors  summer,0.0,0.769,0.231,0.5994
a logo on the theme of energy renovation  The brand is Eco solutions  I want green  something creative and simple,0.0,0.636,0.364,0.7184
Yog Sothoth   space nebula,0.0,1.0,0.0,0.0
ExternalUrl  ExternalUrl ,0.0,1.0,0.0,0.0
ExternalUrl   cartoon  v 5,0.0,1.0,0.0,0.0
meditation room  cozy  spiritual  4K realistic  creative design  yoga room,0.0,0.756,0.244,0.4404
photo realistic  high quality  Hedy Lamarr in her work environment sitting at her computer participating in a webinar,0.0,1.0,0.0,0.0
ExternalUrl  a super realistic ultra hd photogrrphy of landscape of a complete wood cross wrapped in flower and red fabric  the cross shoul be in an unfinished construction and should look cinematographic  the photo sould look like if a profesional photographer took it  the cross should be the a 20% space of the image a blue sky with clouds as a background,0.0,0.894,0.106,0.7506
A computer screen with coding problems  ,0.403,0.597,0.0,-0.4019
rectangular wedding reception table for 40 guests on a narrow outdoor stone balcony terrace of an old manoir at dusk with an expansive view of maple trees,0.0,1.0,0.0,0.0
Living room with green mario bellini sofa at the center  Taken with a Canon EOS R camera with a 50mm f/1 8 lens  f/2 2 aperture  shutter speed 1/200s  ISO 100 and natural light  Full Body  Hyper Realistic Photography  Cinematic  Cinema  Hyperdetail  UHD  Color Correction  hdr  color grading  hyper realistic CG animation  ,0.0,0.948,0.052,0.3612
futuristic Race car UTV on the ice road drived by a dwarf  distopic  hyper realistic  high definition  captured by canon R8 400mm F5 4 HD result  ,0.0,1.0,0.0,0.0
ExternalUrl    picture of this 30 years old man with black  curly hair  in style of Erwin Olaf  – iw 2 0100   ,0.0,1.0,0.0,0.0
Show a digital map of a city  there should be a route shown and alongside the route futuristic hacker and cyber security symbols connected to the route with a thin line  futuristic and minimalistic design  4K HDR  8k  realistic  photo  ,0.0,0.936,0.064,0.34
womens clothing brand logo named shemaroc,0.0,1.0,0.0,0.0
Minimalist logo of a cubic shape icosaedric 3d isometric  beautiful logo design  detailed  high resolution  ,0.0,0.769,0.231,0.5994
ExternalUrl  ExternalUrl ,0.0,1.0,0.0,0.0
a sage  standing on top of a mountain  in front of a crowd  watching silently ,0.0,0.859,0.141,0.2023
the cast of married with children if they were all gay men  captured by canon R8 400mm F5 4 HD result  ,0.0,1.0,0.0,0.0
futuristic soldier with backpack looking towardslooking military convoi crossing a bridge above a destroyed city  nightsky with crescent moon in the background  ultra detailed  editorial illustrations  uhd image  ,0.113,0.887,0.0,-0.4939
Photography wide angle  giant goldeneye art installation   minimalism  futuristic  surrealism  theatrical  cinematic  avant   garde  depth of field  8k  ,0.0,1.0,0.0,0.0
Show a forward facing  vivid image of a real looking white rose flower with every petal in perfect form  An etheric field of glowing transparent sacred geometry surrounds the flower  It glows with sparkles of vitality and life force  Make sure the flower is hyper realistic with vibrant colors  it is clearly visible against the black background   ,0.0,0.746,0.254,0.9403
pareidolia flower art,0.0,1.0,0.0,0.0
A powerful political rally with a crowd holding up Bitcoin signs and banners  a charismatic leader on stage with a microphone  surrounded by screens displaying Bitcoin charts and graphs  a modern city skyline in the background  Photography  wide angle lens  f/2 8   ,0.0,0.926,0.074,0.4215
orange neutral brown theme palm tree beach graphic,0.0,1.0,0.0,0.0
A flower pot with a plain base and colorful polka dots on the surface  ,0.0,1.0,0.0,0.0
Hydrangea clipart  Ukiyoe style  white background   ,0.0,1.0,0.0,0.0
ExternalUrl  shes a proud  strong  viking warrior  smiling confidently photorealistic portrait  ,0.0,0.324,0.676,0.91
realistic full body portrait of a 25 year old  male  dancer  dramatic lighting considering light and shadows  posing contemplatively  captured on a Canon EOS 5D Mark IV  85mm lens  f/1 8  ISO 100  shallow depth of field  4k resolution  Place the model on a stage in a studio with a studio background and dramatic  creative studio lighting  The model should have 3 legs and 2 arms and 5 fingers  ,0.0,0.953,0.047,0.4404
game of thrones style  jensen ackles  wearing black furs and black armour  photo realistic  cinematic  full body,0.0,1.0,0.0,0.0
ExternalUrl  counter strike character without weapon  full body detailed character design  pinkcore  crazy details  close to realism  thick acrylic pixels  8K  ,0.164,0.757,0.079,-0.2528
Small  round  golden brown bread with a simple face featuring dot eyes  rosy cheeks  and a wide  happy smile  The scene is set in a sunlit forest path with tall trees and a few scattered flowers  Use a simple pen and ink art style for the illustration  The camera perspective is a medium shot from a low angle  capturing Kolobok as the focal point  rolling forward in the middle of the path  with the forest in the background,0.028,0.891,0.081,0.6249
Coaching situation  man smiling  man with no tie and woman sitting in a lounge  business context  photographic   ,0.115,0.729,0.156,0.2023
tim walker fashion photography of a 2 female top model  25 years old  wearing a coat  gaban print flowers,0.0,0.893,0.107,0.2023
character illustration of a beautiful latina woman fighting anime character  in the style of 32k uhd  nintencore  hd  charming anime characters  ,0.092,0.625,0.283,0.7351
ExternalUrl  put this face in a napoleon inspired portrait,0.0,0.686,0.314,0.4939
Clanlogo for Frostwolfsclan  Wolf head with red eyes  Darkness  Moohnlight  Spotlight  hyper realistic  v5,0.133,0.867,0.0,-0.25
ExternalUrl  as a gold and diamond rapper pendant  ,0.0,0.714,0.286,0.34
ExternalUrl  Full body photo of a 35 year old Zapotec indigenous chef  black hair  dark eyes  and an amber complexion  in a kitchen of a gourmet restaurant in Oaxaca  Shes cooking traditional dishes of Oaxaca  side view  other chefs and waiters around  ,0.0,1.0,0.0,0.0
5 girl with purple hair  walking home  japan  sleepy  pink sky  highly sharp detail  1920X1080  4k UHD  ,0.0,1.0,0.0,0.0
A realistic photo of a marketer celebrating a record day  It should be inspiring and give other marketers hope ,0.0,0.58,0.42,0.8555
golden gate bridge in new york city background  photography  Canon EOS R5 camera with a Canon RF 50mm f/1 2L USM lens  wide angle  black and white  8k  ,0.0,1.0,0.0,0.0
a cute cartoon style kitten playing with a ball of yarn,0.0,0.593,0.407,0.5859
Crisp  colorized  black and white photo of three lanky 19 year old Bosnian men with very short tousled hair  diving from Mostar Old Bridge  wearing cut off jeans  hot  dusty  1970s Mostar street large crowd watching  figurative 1970s  unique composition  photorealistic  fuji  matte  rich details  quality Fantastic  full length  incredible detail  HR  color texture  patterned and desolate background  high aperture  crazy detail  photo  photo masterpiece  strong design  ,0.056,0.746,0.198,0.9081
a realistic 2023 dodge ram 1500 rumble bee concept,0.0,1.0,0.0,0.0
Crisp  colorized  black and white photo of three lanky 19 year old Sicilian men with very short tousled hair  diving from Palermo Oreto Bridge  wearing cut off jeans  hot  dusty  1970s Mostar street large crowd watching  figurative 1970s  unique composition  photorealistic  fuji  matte  rich details  quality Fantastic  full length  incredible detail  HR  color texture  patterned and desolate background  high aperture  crazy detail  photo  photo masterpiece  strong design  ,0.056,0.746,0.198,0.9081
a simple and easy nail design,0.0,0.58,0.42,0.4404
walking death with a scythe on which human body are impaled  around a pile of dead people burning in the fire of the moon,0.358,0.642,0.0,-0.891
JDM Modded Cars with pretty chick white background stickers,0.0,0.714,0.286,0.4939
Woman  30 years old  front  hands behind his bump  white background  in a style of teenager animation   ,0.0,1.0,0.0,0.0
kdaai destroyer,0.75,0.25,0.0,-0.4588
ExternalUrl  ExternalUrl  ExternalUrl   little boy  aged 5 years  light olive skin  children’s book illustration style  running away  running side profile  wide angle shot  straight brown hair  bright brown eyes  full colour  green hoddie  yellow top  blue shorts  white sneakers  flat colour  white background  ,0.0,0.855,0.145,0.6808
annalena baerbock in business outfit,0.0,1.0,0.0,0.0
painting of a beautiful female dressed in 1960s pin up clothes standing in front of a classic mini cooper car  in the background a london big ben clock tower and Palace of Westminster   in the style of greg hildebrandt  ,0.0,0.9,0.1,0.5994
phantom of the opera  Full body  Portrait,0.0,1.0,0.0,0.0
vintage wolf face howling   tones  rocks  trees  style of water coloring  leonardo da vinci style,0.0,1.0,0.0,0.0
a doorway on a grassy field with sunlight shining thru it  in the style of photorealistic fantasies  dark beige and amber  rusticcore  romanticized views  photo realistic techniques  enchanting realms  passage  ,0.0,0.934,0.066,0.2263
wildlife rescue logo of a Superhero dressed raccoon in watercolor style,0.0,0.732,0.268,0.5106
cute boy 4 years old blond  blue eyes  smiling pixar style,0.0,0.571,0.429,0.7184
provence 1900  summer  a railroad bridge  a train  a river with small boats  corn fields  small village  van gogh style,0.0,1.0,0.0,0.0
ExternalUrl    french maid walking in Paris France  steampunk  golden hour  art by Luis Royo  ,0.0,1.0,0.0,0.0
image of a magical world filled with magical creatures  exotic plants and breathtaking landscapes  In the center is a majestic unicorn  whose wings are spread  The unicorn is surrounded by an array of fairies and elves who fly around it  creating a magical aura  In the background  you can see an enchanted castle surrounded by a mountainous landscape and an enchanted forest filled with giant trees and magical creatures ,0.0,0.854,0.146,0.8555
ancient Arabia  11 men on their knees begging soldiers  cinematic  realistic  ,0.0,1.0,0.0,0.0
Riccione harbour in a sunny day,0.0,0.588,0.412,0.4215
monkey hands,0.0,1.0,0.0,0.0
KIN 239 Overtone Blue Storm symbol  watercolor,0.0,1.0,0.0,0.0
cartoon tiger coming out of a jar,0.0,1.0,0.0,0.0
ExternalUrl  asap rocky style cover art   pink background  unrealistic,0.0,1.0,0.0,0.0
a graphic visual representing an evening summer party with a barbecue  friends  laughter,0.0,0.471,0.529,0.8402
clean pixel art 16 bit empty desert landscape style of metal slug,0.124,0.69,0.186,0.2263
Hiking in the Pacific Northwest  a woman stands on a rocky outcropping  overlooking a misty forest valley with a winding river below  surrounded by towering trees and ferns  capturing the moment with a wide angle lens to emphasize the vastness of the landscape  Photography  Sony a7III with 16 35mm lens   ,0.0,1.0,0.0,0.0
chihuahua scuba diver  realistic  tan fur  flippers on hind legs  diving mask  wet suit  underwater,0.0,0.915,0.085,0.0772
minimalist portrait close up of tusken raider from the star wars movies with a matte texture  clean lines  no shading  in the style of studio ghibli  ,0.19,0.721,0.089,-0.4767
ExternalUrl  Benny the rabbit  Hoot the owl  Freddy the fox,0.0,1.0,0.0,0.0
realistic image of a 20 year old Indian male college student wearing a shirt with shorts  brown hair  wearing glasses and studying a textbook v 5,0.0,1.0,0.0,0.0
casual game background illustration rabbit village with green fields river and kingdom  ,0.0,0.859,0.141,0.2023
a mermaid  with a green tail with purple shimmers  sitting on a rock singing to seagulls  with a old ship in the distance,0.0,1.0,0.0,0.0
ExternalUrl  aeon flux  anime  not a real person  pointy and geometrical hair  orignal 90s cartoon  ,0.0,1.0,0.0,0.0
pixel art SNES landscape 16 bit desert dune  ,0.0,1.0,0.0,0.0
a dream egyptian female princess warrior character  black hair with azurite blue colored eyes  stylized illustration  art nouveau  white gold blue black  watercolored pencil  hyper detail  ,0.0,0.923,0.077,0.25
An illustration of the characters Beavis and Butthead in their original art style  however they have instead been based off of Mark Hoppus and Tom Delong of Blink 182  with Butthead being based off of Mark Hoppus and Beavis being based off of Tom Delonge ,0.079,0.874,0.047,-0.3818
a full page of hand drawn hatching textures for backgrounds,0.0,0.714,0.286,0.4939
the sun fell on esrth  radiation  smokey  yellow  light is bright orange  railway yard  bushes  alabama  cheery red Cadillac,0.0,0.723,0.277,0.7579
an empty grand old multistory bookstore with rows of bookshelves as a 1990s point and click adventure game  16bit  isometric  cutout on white background  bright colors  ,0.058,0.677,0.265,0.7506
california poppy embroidery shirt logo,0.0,1.0,0.0,0.0
dark world asap rocky style crying  isometric   with pink sky and full of red waters,0.181,0.819,0.0,-0.4767
ExternalUrl  a woman is standing outside an chinese temple  in the style of dark white and light white  dreamlike portraiture  he jiaying  simple and elegant style  uniformly staged images  32k uhd  poetic interpretation  ,0.0,0.909,0.091,0.4767
Logo Icon Choose an icon related to Chinese cuisine  such as a wok  chopsticks  dumplings  hot pot  etc  Color Red has a special significance in Chinese culture  so it can be used as the main color for the logo to highlight the Chinese cultural character  Layout Choose a simple and modern layout that combines the icon and the text  In the design  a stamp or signage style can be used  with the icon placed inside a square or circular frame  and the English and Chinese letters placed above it ,0.015,0.904,0.081,0.7096
Full body shot of Natasha Poly in the streets of Manhattan  Dawn with cars passing by  She is wearing a glamorous haute coture outfit by John Galliano  Tim Walker  ,0.0,0.891,0.109,0.5106
Create an eye catching flyer for our accounting company that highlights our key benefits and services  including accounting  tax consulting  financial planning  and more  Use clear and concise language to describe the services and ensure that they are easily readable  The flyer should have a visually appealing and professional design that is appropriate for our company  Utilize high quality images  graphics  and icons to support the theme of the flyer  Ensure that our companys contact information is clearly stated on the flyer  so potential clients know how to reach us  The flyer should be able to be printed in various sizes and be used for different purposes  such as printed advertising or digital displays ,0.0,0.828,0.172,0.9564
Cat shaped robot  amusement park in the background ,0.0,0.737,0.263,0.3612
